,id,payment score
136,7659a0437a43d4806d07e54deaf77673716fc1ad2ff007cbef88c785572761fd,343.217
137,f79389653780c6d7b9c3f06a69a9af0245fac470577504f352fbe330d944c4cc,209.246
138,460bb75cf30c8f5a580cda74ef929dc30a3ccaac68e7cfc6057747804fa38117,112.683
139,564755e43ff3857bad24f82baae4e0c068251fd668e641eb9cfecd4fbe6c9cbf,93.82741428571427
140,13ab5c69c70c21f9d8d933321bd7fa10b3ff295bf57079cf250da0e16e1319cf,8.812
141,771e3d0d3bddfa7a7c689aaf615850ab3736342ea896cb351bb5c98ad8b49c9b,52.099
142,c1c7d9902370f0bc8b5bd3e4ec33784e90ccf1e82e2e4cb484807959aff79b9c,63.593
143,cf3093d1e15ecf0b5bd6d644e29e265dad421cb89aad1c6c6519f7d7c3e6ec34,88.759
144,bbabdaa65ba775063b8f02271943478b59451243574fd9a0b9357aa4919cf8f4,318.234
145,3c1dd89434225db3648b5b8362e4265d8524871f86cefe5ceeaf75d2ba33aead,156.212
146,2a0e17235d8a20ac0d5cee0390260ec13c4fb4d595f8c0d932cdfe7a4f0b9d9c,107.025
147,e7e10a6cf759b20882372c94122af2cf8182226ae9208f7cf2bcf47425f15b2a,190.151
148,fc01e268d9d72550e0c9ddafe978d16deeeecbca653b9ef57329d68e385f8205,151.154
149,5a88752fa8186bd05cf877d6590ceb4cf4e650e3c178e916374a382681745414,30.931
150,2377f01337089b2fe589f9dc36011e4b7c71ccd866ade152d920da217690bb6d,116.599
151,2fc4614988f80bb6d9ca06efbc0528ff9c5c7a62f6641a3eac189efaaf63b5ad,248.885
152,6e8c2e775593f77b1db1cb6063fc4dbb393b9a1c1982f807c9d5c79c1c911200,95.941
153,db048a59a775d9f93410c825dce852ea059c1c746e3d9e7c49680e8ff3044eb4,416.031
154,8d0889d9358d87c15b71cc7040ed408f21076a06b9337b7394f3504432878d9b,337.938
155,22115b8fe54eb24ec1ee21f2a13f28ad133a1756103d75fd0386be37a3f407e0,442.08
156,18f1e3d483d040ced9f918933ed7d857e582feba01300463f0e45d1cd9c81eee,204.0495
157,4ee74e15315d83c46256ad244d8eab5a54fb943920099e8d2b695315c9f8eda4,372.25
158,d133eb40b078f9c02ec4ef283dcd34f79a5b718d7b5b050b61e3938d5769fa6c,74.315
159,081d6bd3d92bbb73814519aede4ec7ec38d76804749ffd6af55ddab66d5cda50,110.516
160,82e0462fbf7dff78ef2843e31b0095f03c1de0389811963f5b0ab7bc800af481,187.745
161,dde0966d3d65b378b9ed48efdd282d6e5a4a7a24c33f8d976d036c9e71ca867a,288.601
